ticker,bics_sector,E_score,S_score,G_score,ESG_score,esg_data_flag,sasb_e_weight,sasb_s_weight,sasb_g_weight,bloomberg_esg_disclosure,sustainalytics_risk_score,tri_sources_available,tri_passes,triangulation_result,carbon_intensity,ci_source,data_vintage
HVXA,Financials,66.7,47.66,68.54282116029896,60.87,OK,0.2,0.35,0.45,51.21,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
SLW,Financials,66.69,48.75,53.14379067754665,54.32,OK,0.2,0.35,0.45,50.53,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
ZFIN,Financials,50.12,66.96,68.5731811884591,64.32,OK,0.2,0.35,0.45,52.08,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
HF6,Industrials,98.41,23.83,57.05131903338833,64.04,OK,0.45,0.35,0.2,30.35,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
K34,Industrials,66.74,43.53,64.87153766772607,58.24,OK,0.45,0.35,0.2,53.94,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
NKT,Industrials,70.0,49.0,51.497166562703605,58.95,OK,0.45,0.35,0.2,49.52,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
HGUA,Industrials,67.85,34.7,49.15694059121783,52.51,OK,0.45,0.35,0.2,45.38,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
TLX,Financials,49.36,68.61,54.285524785039414,58.31,OK,0.2,0.35,0.45,51.02,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
UFG,Industrials,65.84,41.02,57.681115354738495,55.52,OK,0.45,0.35,0.2,67.29,,2,2,PASS,4.87,sector_median_imputed,2026-05-14
NXS,Industrials,60.43,21.3,48.7309179495631,44.39,OK,0.45,0.35,0.2,54.7,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
HLBN,Materials,49.48,55.23,82.61339017299966,57.83,OK,0.5,0.3,0.2,73.78,,2,2,PASS,4285.61,bloomberg_calc,2026-05-14
NOT,Health Care,70.0,68.21,91.93582897520116,76.96,OK,0.25,0.4,0.35,67.18,,2,2,PASS,15.735,sector_median_imputed,2026-05-14
DJDA,Consumer Discretionary,28.41,50.17,60.228513894467504,45.07,OK,0.35,0.4,0.25,52.45,,2,1,WATCHLIST,0.0,sector_median_imputed,2026-05-14
XCA,Financials,86.99,49.8,61.886057208259146,62.68,OK,0.2,0.35,0.45,50.7,,2,2,PASS,0.5349999999999999,sector_median_imputed,2026-05-14
B3K,Industrials,99.35,67.14,44.2594431436072,77.06,OK,0.45,0.35,0.2,32.68,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
SKT,Financials,100.0,40.08,55.103917142564036,58.82,OK,0.2,0.35,0.45,40.27,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
SKWA,Materials,93.32,60.28,74.14294775991205,79.57,OK,0.5,0.3,0.2,59.74,,2,2,PASS,4285.61,sector_median_imputed,2026-05-14
